Comprehensive GitHub Secret Hunting Platform in Rust

Usage: github_archiver [OPTIONS] <COMMAND>

Commands:
  hunt       Start comprehensive secret hunting
  scan       Scan specific organization/repository
  gui        Launch Secrets Ninja GUI
  big-query  Run BigQuery historical scan
  monitor    Start real-time monitoring
  triage     Run AI triage on existing secrets
  database   Database operations
  perf       Performance testing and optimization
  help       Print this message or the help of the given subcommand(s)

Options:
  -v, --verbose          Enable verbose logging
  -c, --config <CONFIG>  Configuration file path
  -h, --help             Print help
  -V, --version          Print version
